stage,presentation,rank,layer,users,mean_target_rank90,p90_target_rank90,mean_target_rank95,retained_centered_energy,anchor_fit_relative_l2
layer_hidden,S6_post_block_residual,2,2,512,1.145703125,2.0,1.29375,0.9968646103283391,0.0009739802257456631
layer_hidden,S6_post_block_residual,2,3,512,1.155859375,2.0,1.284375,0.9959448174573481,0.0011082231190073343
layer_hidden,S6_post_block_residual,2,4,512,1.003125,1.0,1.009765625,0.9988295940915123,0.001369221899119566
layer_hidden,S6_post_block_residual,2,5,512,1.01796875,1.0,1.073828125,0.9968219491187483,0.001892179887192924
layer_hidden,S6_post_block_residual,4,0,512,1.050390625,1.0,1.208203125,0.9998605357948691,0.0009909098155134188
layer_hidden,S6_post_block_residual,4,1,512,1.065625,1.0,1.134765625,0.9999555429676548,0.0003199944401558241
layer_hidden,S6_post_block_residual,4,2,512,1.121484375,2.0,1.25390625,0.9999081221641972,0.00020034877663022144
layer_hidden,S6_post_block_residual,4,3,512,1.134375,2.0,1.260546875,0.9998964617028833,0.00023257287866584875
layer_hidden,S6_post_block_residual,4,4,512,1.002734375,1.0,1.008984375,0.9999396785860881,0.0004436236301970098
layer_hidden,S6_post_block_residual,4,5,512,1.01640625,1.0,1.06640625,0.9999122744658961,0.0006943410218340773
layer_hidden,S6_post_block_residual,8,0,512,1.050390625,1.0,1.208203125,0.9999931152909994,0.0009386537076380818
layer_hidden,S6_post_block_residual,8,1,512,1.065625,1.0,1.134765625,0.9999976636143402,0.00021926673549188536
layer_hidden,S6_post_block_residual,8,2,512,1.121484375,2.0,1.253515625,0.9999970270553604,0.000124551666692696
layer_hidden,S6_post_block_residual,8,3,512,1.134375,2.0,1.26015625,0.9999961403664201,0.00014843707644445202
layer_hidden,S6_post_block_residual,8,4,512,1.002734375,1.0,1.008984375,0.9999934761086479,0.0003647653265943518
layer_hidden,S6_post_block_residual,8,5,512,1.01640625,1.0,1.06640625,0.9999949855497107,0.000599578917563548
u_gated_update,S5_transformed_update,0,0,512,1.050390625,1.0,1.208203125,0.0,0.05550945554423379
u_gated_update,S5_transformed_update,0,1,512,1.066015625,1.0,1.128515625,0.0,0.04635071491538838
u_gated_update,S5_transformed_update,0,2,512,1.137890625,2.0,1.271484375,0.0,0.025503036676673217
u_gated_update,S5_transformed_update,0,3,512,1.139453125,2.0,1.26328125,0.0,0.027706354327892768
