stage,presentation,rank,layer,users,target_rank90,target_rank95,retained_centered_energy,anchor_fit_relative_l2
u_gated_update,S5_transformed_update,1,2,32,1.11875,1.25625,0.9538100849837065,0.003441541643405799
u_gated_update,S5_transformed_update,1,3,32,1.13125,1.24375,0.9520499266684055,0.0035539817341486923
u_gated_update,S5_transformed_update,1,4,32,1.0,1.0,0.9939139429479837,0.002967618986804155
u_gated_update,S5_transformed_update,1,5,32,1.0125,1.04375,0.9807609725743532,0.004003411434678128
u_gated_update,S5_transformed_update,2,0,32,1.0625,1.225,0.9940949011594057,0.0031978015456843424
u_gated_update,S5_transformed_update,2,1,32,1.04375,1.0875,0.9988475985825062,0.0014134585868305293
u_gated_update,S5_transformed_update,2,2,32,1.1125,1.24375,0.9968170814216137,0.0009918010950059398
u_gated_update,S5_transformed_update,2,3,32,1.11875,1.2,0.9958335939794779,0.0011648528065052234
u_gated_update,S5_transformed_update,2,4,32,1.0,1.0,0.9988726031035184,0.0012200187207781709
u_gated_update,S5_transformed_update,2,5,32,1.0125,1.0375,0.9969177063554525,0.0016176541710592573
u_gated_update,S5_transformed_update,4,0,32,1.0625,1.225,0.9998554587364197,0.0009994812581680889
u_gated_update,S5_transformed_update,4,1,32,1.04375,1.09375,0.9999630317091942,0.00038569463495150556
u_gated_update,S5_transformed_update,4,2,32,1.09375,1.2,0.9999191403388977,0.00020724365695059532
u_gated_update,S5_transformed_update,4,3,32,1.1,1.1875,0.9999066218733788,0.00023870942682151507
u_gated_update,S5_transformed_update,4,4,32,1.0,1.0,0.9999623615294695,0.00030300093189907786
u_gated_update,S5_transformed_update,4,5,32,1.0125,1.03125,0.9999284524470567,0.0003491800516258081
u_gated_update,S5_transformed_update,8,0,32,1.0625,1.225,0.9999922450631857,0.0009493503457633778
u_gated_update,S5_transformed_update,8,1,32,1.04375,1.09375,0.999998327717185,0.00029466202354342383
u_gated_update,S5_transformed_update,8,2,32,1.09375,1.2,0.999997217208147,0.00013265680879612774
u_gated_update,S5_transformed_update,8,3,32,1.1,1.1875,0.9999967187643051,0.00015278983491953113
u_gated_update,S5_transformed_update,8,4,32,1.0,1.0,0.9999987866729498,0.0002285229005792644
u_gated_update,S5_transformed_update,8,5,32,1.0125,1.03125,0.9999970406293869,0.0002552806014136877
