stage,presentation,rank,edge,users,probability_harm_recovery,logit_harm_recovery,median_user_probability_recovery,p10_user_probability_recovery,users_improved_fraction,users_at_80_fraction,top1_agreement,top10_overlap,rank_correlation,storage_values_fp32_per_user
av_aggregation,S4_aggregated_context,0,v0_to_v1,512,0.9732758250894793,0.9735853834831487,0.980763852596283,0.8966336131095887,0.99609375,0.953125,0.953125,0.9646484442055225,0.9842232196242549,1152
av_aggregation,S4_aggregated_context,0,v1_to_v2,512,0.981970810764585,0.9813006100480048,0.9860434532165527,0.8795869469642639,1.0,0.9296875,0.984375,0.9871093789115548,0.9981929308269173,1152
av_aggregation,S4_aggregated_context,0,v2_to_v3,512,0.973590474418641,0.9730801183705032,0.9769866764545441,0.9181071996688843,0.998046875,0.97265625,0.87109375,0.9314453193801455,0.9522873345267726,1152
av_aggregation,S4_aggregated_context,0,v3_to_v4,512,0.9721091532067426,0.9713016860939783,0.9789623916149139,0.9453080236911774,1.0,0.998046875,0.681640625,0.787500008722418,0.739338717116425,1152
av_aggregation,S4_aggregated_context,0,v4_to_v5,512,0.9757836090879284,0.9768327754625816,0.9756735861301422,0.8607657968997955,1.0,0.9375,0.92578125,0.966992195462808,0.9896544535877183,1152
av_aggregation,S4_aggregated_context,1,v0_to_v1,512,0.998643341105431,0.9984997796018498,0.9984659254550934,0.9902398705482482,1.0,1.0,0.99609375,0.9964843762572855,0.9995195947121829,4608
av_aggregation,S4_aggregated_context,1,v1_to_v2,512,0.997349551930656,0.9972395695804993,0.9973648488521576,0.9868687331676483,1.0,1.0,0.998046875,0.9957031265366822,0.9995833146385849,4608
av_aggregation,S4_aggregated_context,1,v2_to_v3,512,0.9985766765816456,0.9985187243497857,0.9984566271305084,0.9936999917030335,1.0,1.0,0.99609375,0.9966796886874363,0.9993656645528972,4608
av_aggregation,S4_aggregated_context,1,v3_to_v4,512,0.9988046487473831,0.9986923249858215,0.9989459216594696,0.9968832671642304,1.0,1.0,0.984375,0.9896484410855919,0.9983024725224823,4608
av_aggregation,S4_aggregated_context,1,v4_to_v5,512,0.9951386878325106,0.9953007855938818,0.9955647587776184,0.9774463295936584,1.0,0.99609375,0.986328125,0.9875000038882717,0.9986769165843725,4608
av_aggregation,S4_aggregated_context,2,v0_to_v1,512,0.9995875052177788,0.9995703221617522,0.9996109902858734,0.9972730457782746,1.0,1.0,0.998046875,0.9986328129889444,0.9998854473233223,6912
av_aggregation,S4_aggregated_context,2,v1_to_v2,512,0.9986416445180428,0.9985971085009978,0.998688280582428,0.9936807990074158,1.0,1.0,0.99609375,0.9968750011175871,0.9997787701431662,6912
av_aggregation,S4_aggregated_context,2,v2_to_v3,512,0.9993196156037741,0.99932509654249,0.9994180202484131,0.9967041373252868,1.0,1.0,0.99609375,0.9980468756984919,0.9997379607520998,6912
av_aggregation,S4_aggregated_context,2,v3_to_v4,512,0.9995561904904414,0.9995571212258683,0.9997444450855255,0.9986512243747712,1.0,1.0,0.982421875,0.9968750011175871,0.9996670812834054,6912
av_aggregation,S4_aggregated_context,2,v4_to_v5,512,0.9978630174976195,0.9978527174804316,0.9980717599391937,0.9876824140548706,1.0,1.0,0.998046875,0.9943359395256266,0.9995496647898108,6912
av_aggregation,S4_aggregated_context,4,v0_to_v1,512,0.9997804385957378,0.999788137649736,0.9998635947704315,0.9990415751934052,1.0,1.0,1.0,0.9996093751396984,0.9999599065631628,11520
av_aggregation,S4_aggregated_context,4,v1_to_v2,512,0.9996290234921071,0.9996631298864851,0.9997234344482422,0.9986820697784424,1.0,1.0,0.998046875,0.9996093751396984,0.9999620544258505,11520
av_aggregation,S4_aggregated_context,4,v2_to_v3,512,0.999623962938597,0.9996226899270055,0.9997342824935913,0.9982535779476166,1.0,1.0,0.9921875,0.9992187502793968,0.9998976185452193,11520
