stage,stage_order,presentation,rank,edge_equal_probability_harm_recovery,bootstrap_95_lower,bootstrap_95_upper,minimum_edge_probability_harm_recovery,edge_equal_logit_harm_recovery,edges_at_80,edges_at_90,median_user_probability_recovery,p10_user_probability_recovery,users_improved_fraction,users_at_80_fraction,storage_values_fp32_per_user,representation_gate_80,strong_representation_gate_90
av_aggregation,4,S4_aggregated_context,0,0.9753459745134752,0.9742529852427251,0.9763801629681484,0.9721091532067426,0.9752201146916434,5,5,0.9794650673866272,0.9089174091815948,0.998828125,0.958203125,1152,True,True
av_aggregation,4,S4_aggregated_context,1,0.9977025812395253,0.9975809081926731,0.9978105259649793,0.9951386878325106,0.9976502368223678,5,5,0.9980597496032715,0.98916996717453,1.0,0.99921875,4608,True,True
av_aggregation,4,S4_aggregated_context,2,0.9989935946655313,0.9989271938484877,0.9990537494319958,0.9978630174976195,0.998980473182308,5,5,0.9993109405040741,0.9952436208724975,1.0,1.0,6912,True,True
av_aggregation,4,S4_aggregated_context,4,0.9994944972874862,0.9994471211765046,0.9995384747649898,0.9987514366421953,0.9995245943156048,5,5,0.999765545129776,0.9980380535125732,1.0,1.0,11520,True,True
av_aggregation,4,S4_aggregated_context,8,0.999497652115601,0.9994503707887211,0.9995412250704967,0.9987580341727165,0.9995282692438108,5,5,0.9997704029083252,0.9980541050434113,1.0,1.0,20736,True,True
u_gated_update,5,S5_transformed_update,0,0.9409655617346004,0.9363456034321521,0.9451735497858835,0.897550053313672,0.9303917077453357,5,4,0.9551292061805725,0.639488685131073,0.958984375,0.83671875,1152,True,False
u_gated_update,5,S5_transformed_update,1,0.9913985258431156,0.9908590941956957,0.9918440197874824,0.986712745771598,0.9902961447571869,5,5,0.9932257235050201,0.9494979023933411,0.9984375,0.970703125,4608,True,True
u_gated_update,5,S5_transformed_update,2,0.995807997363713,0.9955657903524858,0.996018074362177,0.9937145839003207,0.9953474996896873,5,5,0.9964556396007538,0.9767386019229889,1.0,0.9921875,6912,True,True
u_gated_update,5,S5_transformed_update,4,0.9980587767775078,0.9978858378612636,0.9982092807815517,0.9960666518226708,0.9977315698587056,5,5,0.9987648129463196,0.9874738574028015,1.0,0.995703125,11520,True,True
u_gated_update,5,S5_transformed_update,8,0.9981062047244527,0.9979368611761371,0.9982536481640265,0.9961655337992886,0.9977921014241435,5,5,0.9988296926021576,0.9881214439868927,1.0,0.99609375,20736,True,True
layer_hidden,6,S6_post_block_residual,0,0.9409655692808894,0.9363456092847524,0.945173554657483,0.8975500894275213,0.9303917078791619,5,4,0.9551291763782501,0.6394864678382873,0.958984375,0.83671875,1152,True,False
layer_hidden,6,S6_post_block_residual,1,0.9913985018306603,0.9908590478355862,0.9918440034294396,0.9867126652678088,0.9902961332899773,5,5,0.9932259023189545,0.9494991898536682,0.9984375,0.970703125,4608,True,True
layer_hidden,6,S6_post_block_residual,2,0.995808005565484,0.9955658121649503,0.9960180963368661,0.9937145109202502,0.9953474999698523,5,5,0.9964550137519836,0.9767398834228516,1.0,0.9921875,6912,True,True
layer_hidden,6,S6_post_block_residual,4,0.9980587399823564,0.9978858020617666,0.9982092774178423,0.9960665607856756,0.9977315471802524,5,5,0.9987669289112091,0.9874921619892121,1.0,0.995703125,11520,True,True
layer_hidden,6,S6_post_block_residual,8,0.9981062222163489,0.997936896511034,0.9982536785779289,0.9961654841427459,0.9977921067370851,5,5,0.9988272190093994,0.9881339967250824,1.0,0.99609375,20736,True,True
final_readout,7,S7_final_representation,0,0.9718246214101743,0.9703472605253275,0.9731829110905313,0.9605963135358746,0.9698683281411096,5,5,0.972297340631485,0.8462379038333893,0.996875,0.92265625,192,True,True
final_readout,7,S7_final_representation,1,0.9938672311992125,0.9935264798449597,0.9941699561133281,0.9896227113264664,0.9933773241465753,5,5,0.9939699470996857,0.9696211099624634,0.999609375,0.992578125,768,True,True
final_readout,7,S7_final_representation,2,0.9974434613208929,0.997302400295682,0.9975644877292866,0.99643566248016,0.9972331339166743,5,5,0.9975230395793915,0.9878556311130524,1.0,0.99921875,1152,True,True
final_readout,7,S7_final_representation,4,0.9991658197432296,0.9990983833557684,0.9992159476623448,0.9988212131266653,0.9991251034945231,5,5,0.9992474913597107,0.9961480855941772,1.0,1.0,1920,True,True
final_readout,7,S7_final_representation,8,0.999379296126239,0.9993380687993669,0.9994142807858708,0.9989889414410955,0.9993600977662969,5,5,0.9994614124298096,0.9970645368099212,1.0,1.0,3456,True,True
