edge,config_id,family,budget,cost,users,candidates_per_user,mean_abs_probability_gap,reuse_mean_abs_probability_gap,probability_gap_recovery,mean_abs_logit_gap,mean_Bernoulli_JS,top1_agreement,top10_overlap,rank_correlation
v0_to_v1,layer_1,layer,k1,0.16666666666666666,3000,64,0.007496714748615463,0.008901711984495507,0.1578344972660527,0.08431842858654758,0.0001330310621915062,0.9483333333333334,0.9612333333333334,0.9862986874236874
v0_to_v1,layer_1_2,layer,k2,0.3333333333333333,3000,64,0.006851372905417419,0.008901711984495507,0.2303308714828397,0.07654088014302154,0.00010964501252080766,0.958,0.9689333333333334,0.9906014194139194
v0_to_v1,layer_1_2_3,layer,k3,0.5,3000,64,0.002513682296537658,0.008901711984495507,0.7176181052683073,0.029357802767306568,3.575740824774675e-05,0.983,0.9873999999999999,0.9978788308913308
v0_to_v1,layer_1_2_3_4,layer,k4,0.6666666666666666,3000,64,0.0002557394856934445,0.008901711984495507,0.9712707526216444,0.0026932900908092656,1.5209452917894095e-07,0.9976666666666667,0.999,0.9999298840048841
v0_to_v1,token_p10_kv_drift,token,p10,0.099609375,3000,64,0.007950582994885822,0.008901711984495507,0.10684787277619257,0.07297556257185836,0.00014874542580842228,0.9616666666666667,0.9713666666666666,0.9877166056166057
v0_to_v1,token_p20_kv_drift,token,p20,0.2001953125,3000,64,0.0074636437490496164,0.008901711984495507,0.1615496252800176,0.06710871211687723,0.00013618574288727346,0.964,0.9732666666666667,0.9881806166056167
v0_to_v1,token_p40_read_delta,token,p40,0.400390625,3000,64,0.007499579181372574,0.008901711984495507,0.1575127127866064,0.06842432809683184,0.00012562235231292185,0.969,0.9765666666666668,0.9918116452991453
v0_to_v1,token_p80_read_delta,token,p80,0.7998046875,3000,64,0.002479797992336272,0.008901711984495507,0.721424598250826,0.023090553556879362,1.4131006826870186e-05,0.986,0.9914333333333334,0.9983826770451771
v0_to_v1,window_128_640_768,window,w128,0.125,3000,64,0.00810056016503833,0.008901711984495507,0.08999974621202955,0.07659939461263518,0.00014579809073541795,0.9586666666666667,0.9692000000000002,0.9879465048840047
v0_to_v1,window_256_512_768,window,w256,0.25,3000,64,0.007242846465195084,0.008901711984495507,0.18635353763295648,0.06873676816684504,0.00011821632501929949,0.963,0.9714666666666667,0.9890851343101342
v0_to_v1,window_512_512_1024,window,w512,0.5,3000,64,0.005556810952641371,0.008901711984495507,0.3757592963780556,0.0531377582916369,7.148381566703976e-05,0.9696666666666667,0.9776666666666667,0.9925704365079367
v0_to_v1,window_768_256_1024,window,w768,0.75,3000,64,0.0033024041669051057,0.008901711984495507,0.6290147139497386,0.0319936970466127,2.6623538648081897e-05,0.981,0.9868333333333333,0.9963958028083028
v1_to_v2,layer_1,layer,k1,0.16666666666666666,3000,64,0.003238852135948185,0.004922253097276744,0.3419980500921228,0.035007965953399736,2.4394978599770693e-05,0.9773333333333334,0.9823333333333333,0.9976303571428571
v1_to_v2,layer_1_2,layer,k2,0.3333333333333333,3000,64,0.0030580686726161027,0.004922253097276744,0.37872583709521324,0.032975021267930664,2.1072614247193444e-05,0.9796666666666667,0.9843333333333333,0.9980552045177045
v1_to_v2,layer_1_2_3,layer,k3,0.5,3000,64,0.0010021997606524415,0.004922253097276744,0.7963941022848028,0.011901938145980239,5.065114655992167e-06,0.9923333333333333,0.9949333333333334,0.9995765109890111
v1_to_v2,layer_1_2_3_4,layer,k4,0.6666666666666666,3000,64,7.039601403911642e-05,0.004922253097276744,0.985698416426806,0.0007427062119046846,1.070564900712426e-08,0.999,0.9998666666666667,0.9999918192918195
v1_to_v2,token_p10_persistence,token,p10,0.099609375,3000,64,0.0035098390983659914,0.004922253097276744,0.2869446107296222,0.03324262598529458,2.3302432550104765e-05,0.979,0.9857333333333332,0.9982977564102564
v1_to_v2,token_p20_read_norm,token,p20,0.2001953125,3000,64,0.003036577993348928,0.004922253097276744,0.383091861930276,0.028898004798218607,1.7186207786048863e-05,0.979,0.9854666666666667,0.9980321123321124
v1_to_v2,token_p40_read_delta,token,p40,0.400390625,3000,64,0.00193528875708977,0.004922253097276744,0.606828678078241,0.018884547686825195,6.785022278396465e-06,0.9846666666666667,0.9884666666666665,0.9987111111111111
v1_to_v2,token_p80_read_delta,token,p80,0.7998046875,3000,64,0.0004040230189363471,0.004922253097276744,0.9179190888904363,0.004508358305320144,4.209565907529911e-07,0.9956666666666667,0.9965,0.9996862942612943
v1_to_v2,window_128_640_768,window,w128,0.125,3000,64,0.004379968163872329,0.004922253097276744,0.1101700629137572,0.04116840002685785,3.869955206531399e-05,0.9796666666666667,0.9846333333333334,0.9984002289377288
v1_to_v2,window_256_256_512,window,w256,0.25,3000,64,0.0038332812699098814,0.004922253097276744,0.22123442371732982,0.03602298531122506,2.9969095798017777e-05,0.9806666666666667,0.9867333333333332,0.9986662240537241
v1_to_v2,window_512_512_1024,window,w512,0.5,3000,64,0.0027931132595769683,0.004922253097276744,0.4325539129383108,0.026342969365417957,1.600459786680482e-05,0.9873333333333333,0.9901666666666666,0.9991100274725274
v1_to_v2,window_768_256_1024,window,w768,0.75,3000,64,0.0015397517571103527,0.004922253097276744,0.6871855780918241,0.014548286550988753,5.130753164559278e-06,0.9916666666666667,0.9941333333333332,0.9995605616605617
v2_to_v3,layer_1,layer,k1,0.16666666666666666,3000,64,0.0022609563459895132,0.0055176022078184984,0.5902284614164981,0.020239933129710456,1.0418470646210309e-05,0.9313333333333333,0.9629666666666667,0.9914834401709401
v2_to_v3,layer_1_2,layer,k2,0.3333333333333333,3000,64,0.0021529125794272084,0.0055176022078184984,0.6098101134626,0.019274556685859957,9.474324958573907e-06,0.9383333333333334,0.9671666666666666,0.9929079212454213
v2_to_v3,layer_1_2_3,layer,k3,0.5,3000,64,0.00042542631040165177,0.0055176022078184984,0.922896523819927,0.004089279510080815,3.5525605368830654e-07,0.9923333333333333,0.9931000000000001,0.9994897435897436
v2_to_v3,layer_1_2_3_4,layer,k4,0.6666666666666666,3000,64,0.00013424034089849462,0.0055176022078184984,0.975670529363593,0.0012141979013880093,3.118032757401087e-08,0.997,0.9983333333333333,0.9999355311355311
v2_to_v3,token_p10_read_delta,token,p10,0.099609375,3000,64,0.00379832220416154,0.0055176022078184984,0.31159912202817397,0.03289398293383419,2.584840631457025e-05,0.9276666666666666,0.9565333333333335,0.9894724358974359
v2_to_v3,token_p20_kv_drift,token,p20,0.2001953125,3000,64,0.0031105970914370347,0.0055176022078184984,0.43624114710022277,0.027412861437847217,1.7578212959386426e-05,0.9286666666666666,0.9599666666666669,0.9914343864468865
v2_to_v3,token_p40_read_delta,token,p40,0.400390625,3000,64,0.0018632616816751091,0.0055176022078184984,0.6623059054465998,0.016527639937897524,6.176520218503542e-06,0.9636666666666667,0.9779,0.9966036782661782
v2_to_v3,token_p80_read_delta,token,p80,0.7998046875,3000,64,0.00023727374930939437,0.0055176022078184984,0.9569969453446326,0.002219482699409127,1.5584945256841822e-07,0.993,0.9947666666666667,0.9996022588522588
v2_to_v3,window_128_896_1024,window,w128,0.125,3000,64,0.004740705476881489,0.0055176022078184984,0.14080332392141992,0.03995589123883595,4.047051495606175e-05,0.912,0.9510333333333333,0.9867138278388279
v2_to_v3,window_256_768_1024,window,w256,0.25,3000,64,0.003991363918102298,0.0055176022078184984,0.2766125995008313,0.033840797745001816,2.8921557008499772e-05,0.9243333333333333,0.9576,0.9899594932844933
v2_to_v3,window_512_512_1024,window,w512,0.5,3000,64,0.0025833521853567383,0.0055176022078184984,0.5317980368907165,0.02220316420868039,1.2659794988339912e-05,0.948,0.9704333333333334,0.9949773962148962
v2_to_v3,window_768_256_1024,window,w768,0.75,3000,64,0.0012752884596536585,0.0055176022078184984,0.7688690826883893,0.011161067942778269,3.4536000949416008e-06,0.97,0.9841000000000001,0.9981555860805861
v3_to_v4,layer_1,layer,k1,0.16666666666666666,3000,64,0.001269603288084286,0.020737443455058218,0.9387772513600461,0.012683207597893972,3.3041445390145433e-06,0.975,0.9855666666666666,0.9980009004884005
v3_to_v4,layer_1_2,layer,k2,0.3333333333333333,3000,64,0.0012852619130235233,0.020737443455058218,0.9380221619020244,0.012904752868848542,3.5762101144440187e-06,0.98,0.9859666666666665,0.998173366910867
