edge,config_id,family,budget,cost,users,candidates_per_user,mean_abs_probability_gap,reuse_mean_abs_probability_gap,probability_gap_recovery,mean_abs_logit_gap,mean_Bernoulli_JS,top1_agreement,top10_overlap,rank_correlation
v0_to_v1,reuse,anchor,reuse,0.0,3000,64,0.008901711984495507,0.008901711984495507,0.0,0.08386247874299685,0.000174432417324819,0.9546666666666667,0.9669666666666668,0.9867068070818071
v0_to_v1,current_exact,anchor,current_exact,1.0,3000,64,0.0,0.008901711984495507,1.0,0.0,0.0,1.0,1.0,1.0
v0_to_v1,layer_1,layer,k1,0.16666666666666666,3000,64,0.007496714748615463,0.008901711984495507,0.1578344972660527,0.08431842858654758,0.0001330310621915062,0.9483333333333334,0.9612333333333334,0.9862986874236874
v0_to_v1,layer_2,layer,k1,0.16666666666666666,3000,64,0.008624985473015658,0.008901711984495507,0.03108688665302084,0.08026628391320506,0.00016750513292715285,0.9566666666666667,0.9673999999999999,0.9852412851037851
v0_to_v1,layer_3,layer,k1,0.16666666666666666,3000,64,0.00844528749114537,0.008901711984495507,0.0512737880247206,0.07903694339158635,0.00015668261743004492,0.9656666666666667,0.9727666666666668,0.9873405372405373
v0_to_v1,layer_4,layer,k1,0.16666666666666666,3000,64,0.008709058101712514,0.008901711984495507,0.02164234061027215,0.08195589985015492,0.00016783733106906165,0.9586666666666667,0.9691333333333335,0.9881830128205129
v0_to_v1,layer_5,layer,k1,0.16666666666666666,3000,64,0.008877318346297415,0.008901711984495507,0.002740331100419824,0.08361942584626376,0.00017363470770075646,0.9546666666666667,0.9669666666666668,0.9867310439560439
v0_to_v1,layer_6,layer,k1,0.16666666666666666,3000,64,0.008857538871152976,0.008901711984495507,0.004962316621731855,0.08349238841297726,0.00017282572175599594,0.955,0.9671333333333334,0.9867956043956043
v0_to_v1,layer_1_2,layer,k2,0.3333333333333333,3000,64,0.006851372905417419,0.008901711984495507,0.2303308714828397,0.07654088014302154,0.00010964501252080766,0.958,0.9689333333333334,0.9906014194139194
v0_to_v1,layer_3_4,layer,k2,0.3333333333333333,3000,64,0.008036156642819339,0.008901711984495507,0.09723470532227318,0.07332614381238818,0.00015059438982838877,0.9656666666666667,0.9735333333333335,0.9887512515262515
v0_to_v1,layer_5_6,layer,k2,0.3333333333333333,3000,64,0.008833062743328348,0.008901711984495507,0.007711914436990153,0.08324838543372849,0.00017202999958996996,0.955,0.9671333333333334,0.9868145146520146
v0_to_v1,layer_1_2_3,layer,k3,0.5,3000,64,0.002513682296537658,0.008901711984495507,0.7176181052683073,0.029357802767306568,3.575740824774675e-05,0.983,0.9873999999999999,0.9978788308913308
v0_to_v1,layer_3_4_5,layer,k3,0.5,3000,64,0.008043256242864776,0.008901711984495507,0.09643715086782645,0.07347744857209425,0.00015042575487676042,0.966,0.9733999999999999,0.9887425518925519
v0_to_v1,layer_4_5_6,layer,k3,0.5,3000,64,0.008619707020268815,0.008901711984495507,0.031679857168808945,0.081062770312652,0.0001650047999327352,0.9586666666666667,0.9692666666666667,0.9883008547008547
v0_to_v1,layer_1_2_3_4,layer,k4,0.6666666666666666,3000,64,0.0002557394856934445,0.008901711984495507,0.9712707526216444,0.0026932900908092656,1.5209452917894095e-07,0.9976666666666667,0.999,0.9999298840048841
v0_to_v1,layer_3_4_5_6,layer,k4,0.6666666666666666,3000,64,0.008054821201527017,0.008901711984495507,0.09513796721839074,0.07376849892921745,0.00014996175959083345,0.9653333333333334,0.9734666666666667,0.9888137362637363
v0_to_v1,window_128_896_1024,window,w128,0.125,3000,64,0.008170402552255866,0.008901711984495507,0.0821537962038531,0.07709774847328663,0.0001484262619095328,0.9566666666666667,0.9693666666666668,0.988103373015873
v0_to_v1,window_128_768_896,window,w128,0.125,3000,64,0.008114391137071847,0.008901711984495507,0.08844600328509511,0.07667344585744043,0.0001463937427959644,0.959,0.9693666666666668,0.9881321123321122
v0_to_v1,window_128_640_768,window,w128,0.125,3000,64,0.00810056016503833,0.008901711984495507,0.08999974621202955,0.07659939461263518,0.00014579809073541795,0.9586666666666667,0.9692000000000002,0.9879465048840047
v0_to_v1,window_256_768_1024,window,w256,0.25,3000,64,0.007365508645333736,0.008901711984495507,0.1725739208185395,0.06971126965309182,0.00012188488618768282,0.962,0.9716333333333335,0.9896670482295482
v0_to_v1,window_256_512_768,window,w256,0.25,3000,64,0.007242846465195084,0.008901711984495507,0.18635353763295648,0.06873676816684504,0.00011821632501929949,0.963,0.9714666666666667,0.9890851343101342
v0_to_v1,window_256_256_512,window,w256,0.25,3000,64,0.0072572010094065645,0.008901711984495507,0.1847409776853327,0.0689814680001388,0.00011739863654558861,0.9606666666666667,0.9714666666666667,0.9893517094017095
v0_to_v1,window_512_512_1024,window,w512,0.5,3000,64,0.005556810952641371,0.008901711984495507,0.3757592963780556,0.0531377582916369,7.148381566703976e-05,0.9696666666666667,0.9776666666666667,0.9925704365079367
