edge,same_request_S4_oracle,frozen_cutover_S4,coverage_scaled_frozen,gate_primary_positive
v0_to_v1,0.9124644913624089,-92.18604215368838,0.21014247962437324,True
v1_to_v2,0.9328469206905781,-50.99018049959922,0.2606256550278957,True
v2_to_v3,0.9459520044273233,-6.256827967913404,0.5120657450103693,True
v3_to_v4,0.945007084111075,-19.04980420729472,0.3231247925701749,True
v4_to_v5,0.9330167837587346,-2.6115986920846264,0.38654967032983156,True
