edge,uid,direction_cosine,norm_ratio,relative_l2
v0_to_v1,508728.7581699346,0.9689230710182751,0.7650060433861288,14.927712773465824
v1_to_v2,511574.3010752688,0.9450310518667613,0.752812111271655,5.397771731007048
v2_to_v3,501069.7610921502,0.9331688516628744,0.7844375833662615,7.868409168256458
v3_to_v4,506958.5964912281,0.9383781411382914,0.7847332097394847,6.7729392774458965
v4_to_v5,517185.9574468085,0.9445766205006488,0.761555893806408,1.9658326434446685
