method,time_bucket,probability_gap_recovery
coverage_scaled_frozen_cutover_S4,"[0d,1d)",0.6229169168169537
coverage_scaled_frozen_cutover_S4,"[1d,3d)",0.6745419063170751
coverage_scaled_frozen_cutover_S4,"[3d,7d)",0.3382815796732982
coverage_scaled_frozen_cutover_S4,"[7d,14d)",0.15223963578703234
