edge,stage,presentation,layer,users,candidate_mean_energy_fraction,candidate_centered_energy_fraction
v3_to_v4,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,0,32,0.99788529984653,0.002114706020165613
v3_to_v4,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,1,32,0.9991086423397064,0.0008913610628269453
v3_to_v4,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,2,32,0.9999233428388834,7.667462764970878e-05
v3_to_v4,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,3,32,0.9998435713350773,0.0001564198209962342
v3_to_v4,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,4,32,0.9989858046174049,0.0010141988693703752
v3_to_v4,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,5,32,0.9995469823479652,0.0004530135335016894
v4_to_v5,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,0,32,0.9970890432596207,0.002910955954575911
v4_to_v5,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,1,32,0.9989903625100851,0.00100963635509288
v4_to_v5,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,2,32,0.9997970443218946,0.00020295649865431642
v4_to_v5,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,3,32,0.9997414723038673,0.00025851051316294615
v4_to_v5,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,4,32,0.9979607965797186,0.0020392097840158385
v4_to_v5,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,5,32,0.9991148021072149,0.0008852138189467951
v0_to_v1,layer_hidden,S6_post_block_residual,0,32,0.9978697076439857,0.002130290415152558
v0_to_v1,layer_hidden,S6_post_block_residual,1,32,0.996499665081501,0.0035003439252250246
v0_to_v1,layer_hidden,S6_post_block_residual,2,32,0.9980197921395302,0.001980188896141044
v0_to_v1,layer_hidden,S6_post_block_residual,3,32,0.9981121644377708,0.00188782390932829
v0_to_v1,layer_hidden,S6_post_block_residual,4,32,0.9977547749876976,0.0022452058610724634
v0_to_v1,layer_hidden,S6_post_block_residual,5,32,0.9971415586769581,0.002858471431864018
v1_to_v2,layer_hidden,S6_post_block_residual,0,32,0.9962038584053516,0.003796144897933118
v1_to_v2,layer_hidden,S6_post_block_residual,1,32,0.9896051660180092,0.010394826393167023
