source,edge,stage,presentation,users,probability_gap_recovery,logit_gap_recovery,rank_correlation,top1_agreement,top10_overlap,correction_numel
heldout,v0_to_v1,final_readout,S7_final_representation,32,0.8856239765882492,0.8843734916299582,0.9946618415415287,0.96875,0.9750000033527613,192
heldout,v1_to_v2,final_readout,S7_final_representation,32,0.968660382553935,0.9692380465567112,0.9935621339827776,0.96875,0.9875000044703484,192
heldout,v2_to_v3,final_readout,S7_final_representation,32,0.925496656447649,0.9249477609992027,0.9799532648175955,0.90625,0.9593750089406967,192
heldout,v3_to_v4,final_readout,S7_final_representation,32,0.9013404101133347,0.8993000276386738,0.931153777288273,0.8125,0.8875000141561031,192
heldout,v4_to_v5,final_readout,S7_final_representation,32,0.901228703558445,0.901040093973279,0.9588984637521207,0.84375,0.9406250137835741,192
heldout,v0_to_v1,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,32,0.8649614509195089,0.8645265456289053,0.9862422123551369,0.9375,0.956250011920929,1152
heldout,v1_to_v2,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,32,0.9772481098771095,0.9777182936668396,0.996700881049037,0.96875,0.9906250033527613,1152
heldout,v2_to_v3,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,32,0.9095361158251762,0.9101996254175901,0.9796210620552301,0.96875,0.9562500044703484,1152
heldout,v3_to_v4,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,32,0.9725826103240252,0.9708437025547028,0.7493699635379016,0.65625,0.7812500083819032,1152
heldout,v4_to_v5,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,32,0.9220431242138147,0.9220858886837959,0.983825147151947,0.96875,0.9718750081956387,1152
heldout,v0_to_v1,layer_hidden,S6_post_block_residual,32,0.6435706801712513,0.6439823638647795,0.9832523874938488,0.9375,0.937500013038516,1152
heldout,v1_to_v2,layer_hidden,S6_post_block_residual,32,0.8555303364992142,0.858679385855794,0.9793690452352166,0.96875,0.9687500074505806,1152
heldout,v2_to_v3,layer_hidden,S6_post_block_residual,32,0.8706123642623425,0.8717862889170647,0.968417800962925,0.9375,0.9375000055879354,1152
heldout,v3_to_v4,layer_hidden,S6_post_block_residual,32,0.8923756591975689,0.8897043988108635,0.6379559186752886,0.65625,0.6781250110361725,1152
heldout,v4_to_v5,layer_hidden,S6_post_block_residual,32,0.8526442907750607,0.85304562933743,0.9430329045280814,0.875,0.9125000108033419,1152
heldout,v0_to_v1,reuse,Current_reader_Parent_state,32,0.0,0.0,0.9946618415415287,0.96875,0.9750000033527613,0
heldout,v1_to_v2,reuse,Current_reader_Parent_state,32,0.0,0.0,0.9935621339827776,0.96875,0.9875000044703484,0
heldout,v2_to_v3,reuse,Current_reader_Parent_state,32,0.0,0.0,0.9799532648175955,0.90625,0.9593750089406967,0
heldout,v3_to_v4,reuse,Current_reader_Parent_state,32,0.0,0.0,0.931153777288273,0.8125,0.8875000141561031,0
heldout,v4_to_v5,reuse,Current_reader_Parent_state,32,0.0,0.0,0.9588984637521207,0.84375,0.9406250137835741,0
heldout,v0_to_v1,u_gated_update,S5_transformed_update,32,0.643570888787508,0.6439810283482075,0.9832523874938488,0.9375,0.937500013038516,1152
heldout,v1_to_v2,u_gated_update,S5_transformed_update,32,0.8555304147303104,0.8586794752627611,0.9793690452352166,0.96875,0.9687500074505806,1152
heldout,v2_to_v3,u_gated_update,S5_transformed_update,32,0.8706151079386473,0.8717873506247997,0.968417800962925,0.9375,0.9375000055879354,1152
heldout,v3_to_v4,u_gated_update,S5_transformed_update,32,0.8923775069415569,0.8897057045251131,0.6379444634076208,0.65625,0.6781250110361725,1152
heldout,v4_to_v5,u_gated_update,S5_transformed_update,32,0.8526443056762218,0.8530463296920061,0.9430329045280814,0.875,0.9125000108033419,1152
