stage,presentation,edge_equal_probability_recovery,edge_equal_logit_recovery,edges_at_80,edges_at_90,minimum_edge_recovery,maximum_edge_recovery,correction_numel,canary_gate_b_shape_only
kv_prefix_contribution,S3_positionwise_response_summed_for_injection,0.9292742822319269,0.9290748111903667,5,4,0.8649614509195089,0.9772481098771095,1152,False
av_aggregation,S4_aggregated_context,0.9292734008282423,0.9290747582912445,5,4,0.8649625405669212,0.977248165756464,1152,True
final_readout,S7_final_representation,0.9164700258523226,0.915779884159565,5,4,0.8856239765882492,0.968660382553935,192,True
u_gated_update,S5_transformed_update,0.8229476448148489,0.8234399776905775,4,0,0.643570888787508,0.8923775069415569,1152,True
layer_hidden,S6_post_block_residual,0.8229466661810875,0.8234396133571863,4,0,0.6435706801712513,0.8923756591975689,1152,True
